phaaga	translations
"
Umun "	"бывш ама
богиня весны"
abaz	песок
abazanna	"пустыня
пески"
abun	отец
"abunanna
umunanna"	предки
acela	пчела
"acelagorgo
aclagorg
clagorg
clagor"	"медведь
пчеловолк"
acu	а
ahan	летать
ahun	полет
ak	"к
в (направление)"
am	да
Amala	бард-женщина
aman	"именовать
именоваться
называть"
amant	названный
amanu	называющий
amil	имя
"amunanna
amilanna"	"именослов
ономастикон"
"amunun
amun"	процесс именования
an (?)	быть
ant	бывший been
anu 	существующий
anzeu	дождливый
anzew	дождь
Anzu	"анзу бывш
гг
"
anzunu	дождевой
anzus	ржанка
apaga	будущее
apagu	будущий
araelk	восток
arel	солнце
argest	ремесло
auruk	запад
awa	но
awsar	корона
awsaran	короновать
awsarant	"царь
король"
awsarant	коронованный
awsaranu	коронующий
awsaretha	страна
awsaretha	царство
awsarun	коронация
awtep	радость
awtepan	радовать
awtepan mo	радоваться
awtepu	радостный
az	из
azahar	мир (вселенная)
Azahar	Земля как планета
azun	выход
Banti	"форт
город"
bayuk	сокол
bemor	болезнь
biiril	буква
biirilanna	алфавит
bundi	сова
bundi	"bad omen
плохое предзнаменование"
butum	здание
buxt	обида
buxtan	обижать
buxtuu	обидчик
buzur	рука
bwawa	грязь
bwawu	грязный
campa	клюв
campus	кулик
camran	петь
camren	песня
"camrenen
camrene"	песни
camrun	пение
camruu	певец
cap	волос
capeku	волосатый
capena	"волосы
прическа"
cara	знание
cara	тепло
caran	знать
caranna	"все знания доступные науке
все что мы знаем"
carant	"знаемый
известный"
caranu	знающий
"caranú
caranuu"	"знающий
ученый
знаток
эксперт"
carem	факт
caren	знания
carsa	"слава
популярность
известность"
carsan	славить
carsu	знаменитый
carú	теплый
carun	познание
caruu	исследователь
"casir
mewet
kiswa"	остров
chaka	собака
charo	"быстро
коротко"
charu	быстрый
charus	стриж
"cheku
chekucheku"	попугай
chil	озеро
chodad	"разделение
разлука"
chodadan	делить
chodadant	разделенный
chomna	помощь
chomnan	помощник
chomnuu	помогать
cidan	искать
cidant	найденный
cidun	поиск
ciduu	искатель
Cinasa	Чинаса
cis	10
cisdet	11
cisex	13
ciskou	15
cislem	14
cismen	12
cisnup	19
cissekh	16
cisush	18
"ciszep
cizzep"	17
ckor	спасибо
ckoran	благодарить
cu	но
dahman	лечить
damir	совесть
Demara	пиво-инженер
demur	рай
det	1
detu	первый
din	"суждение
суд"
dinan	судить
dinant	осужденный
dinun	заседание суда
dinuu	судья
donap	хвост
"doro
doró"	далеко
dorú	далекий
dowsa	голос
dowsanna	хор
dowsen	голоса
du	"все
всё"
dug	добро
dugan	улучшать
dugmol	благословение
dugmolan	благославлять
dugo	хорошо
dugu	хороший
dumo	долго
dumu	долгий
dux	шаг
duxan	идти
duxan	шагать
duxant	ушедший
duxanta	прошлое
duxantu	прошлый
duxanu	идущий
duxanu	"шагающий
марширующий"
duxun	шагание
dwenta	тьма
dwentu	тёмный
Dwentu	тамту бывш
"e
el (перед глас)"	"родительный падеж
of
de"
e 	от
egisto	искусство
egistuu	художник в широком смысле
ekem	щит
ekman	защищать
ekmé	защита
ekú	"большой
увеличенный"
"ekuthok
ekurgest"	большой автоматон
emil	"маленькость
мера"
emu	маленький
ena	сам
eno	авто- (приставка)
"enothokuu
enothok
enorgestu"	робот
epe	для
epe	потому что
erax	рот
"erimil
ermil"	человек
erimilanna	человечество
Érkir	"почва
земля в значении пол"
ertep	высота
ertepo	высоко
ertepu	высокий
eshan	наполнять
eshant	"полный
наполненный"
eshil	наполнитель
eshun	наполнение
Etelu	Этелу
ethan	"класть
ложить
ставить на место"
ethant	расположенный
ethanu	"кладущий
располагающий"
etho	место
ex	3
excis	30
ezbo	сильно
ezuba	сила
ezubew	тяжесть
ezubewu	"тяжелый
сложный"
ezubu	сильный
ganlam	грусть
ganlan	грустить
"ganlu
ganlú"	грустный
ge	я
gen	мы
